                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1727,                 3.5102,                 4.1562,                0.00423,                 0.7341,                0.01011,                0.00267,                 2.6742,                 3.7095,                  4.137,             0.00065359,             0.00065359,             0.00065359
                      2,                 3.0141,                 3.2527,                 3.7347,                0.00307,                0.53179,                0.00491,                0.00148,                 2.8158,                 3.7703,                 4.2549,              0.0012549,              0.0012549,              0.0012549
                      3,                 2.7798,                 2.9865,                 3.3296,                0.00645,                0.48555,                0.00513,                0.00166,                 3.2646,                    inf,                 7.2143,              0.0017902,              0.0017902,              0.0017902
                      4,                 2.5924,                 2.8181,                 3.1388,                0.12387,                 0.3743,                0.10775,                0.03327,                 2.4906,                 18.582,                 3.4221,               0.001703,               0.001703,               0.001703
                      5,                 2.4726,                 2.6784,                 2.9565,                0.18441,                0.20809,                0.12586,                0.04304,                 2.3032,                 3.7202,                 3.0052,               0.001703,               0.001703,               0.001703
                      6,                 2.3147,                 2.5769,                 2.8093,                0.22881,                0.34104,                0.18086,                0.05952,                 2.4222,                 4.6248,                  3.068,               0.001604,               0.001604,               0.001604
                      7,                 2.1784,                 2.4374,                 2.6765,                0.31911,                0.42197,                0.27235,                0.09929,                 2.2238,                 5.4281,                 2.8664,               0.001505,               0.001505,               0.001505
                      8,                 2.1169,                 2.2964,                 2.5804,                0.42415,                0.45665,                0.34831,                0.13529,                 2.1871,                 2.7147,                 2.7094,               0.001406,               0.001406,               0.001406
                      9,                  2.056,                 2.2536,                 2.5126,                0.45506,                0.50867,                0.46022,                0.17764,                 2.0085,                 2.6101,                 2.5773,               0.001307,               0.001307,               0.001307
                     10,                 1.9686,                 2.1109,                 2.4342,                0.46473,                0.42775,                 0.4094,                0.15127,                 1.9692,                 2.4318,                 2.6116,               0.001208,               0.001208,               0.001208
                     11,                 1.9163,                 2.0891,                 2.5351,                0.46652,                0.44509,                 0.4375,                0.15704,                 2.0263,                 2.3163,                 2.6623,               0.001109,               0.001109,               0.001109
                     12,                 1.7964,                 1.9244,                 2.4492,                0.47697,                0.56931,                0.49398,                0.22014,                 1.7859,                 1.9404,                 2.3868,                0.00101,                0.00101,                0.00101
                     13,                 1.7733,                  1.787,                 2.3859,                0.57308,                0.50867,                0.52701,                0.22964,                 1.8106,                  1.947,                 2.3436,               0.000911,               0.000911,               0.000911
                     14,                 1.7443,                 1.7192,                 2.3543,                0.48138,                0.42923,                0.38151,                0.14454,                 1.8858,                 2.1606,                 2.3609,               0.000812,               0.000812,               0.000812
                     15,                 1.7025,                 1.6424,                  2.302,                0.61409,                0.56069,                0.56391,                0.28801,                 1.6538,                 1.7729,                  2.177,               0.000713,               0.000713,               0.000713
                     16,                 1.6587,                 1.6439,                 2.2621,                0.56483,                0.53269,                0.52711,                0.26339,                 1.7228,                 2.0451,                 2.3178,               0.000614,               0.000614,               0.000614
                     17,                 1.6079,                 1.5655,                 2.2244,                0.64429,                0.61772,                0.63434,                0.32313,                 1.6027,                 1.7888,                 2.2162,               0.000515,               0.000515,               0.000515
                     18,                 1.5944,                 1.5212,                  2.193,                0.60994,                0.57225,                0.58157,                0.30694,                 1.6046,                 1.7232,                 2.1459,               0.000416,               0.000416,               0.000416
                     19,                 1.5717,                 1.4667,                 2.1983,                 0.5949,                0.56026,                0.58405,                0.27982,                 1.5837,                  1.938,                 2.2299,               0.000317,               0.000317,               0.000317
                     20,                 1.5536,                 1.4521,                  2.171,                0.61428,                 0.6763,                0.64217,                0.34324,                 1.5036,                 1.6006,                 2.0971,               0.000218,               0.000218,               0.000218
