                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4162,                 2.0626,                 1.6588,                0.55957,                0.41618,                0.49581,                0.24316,                 1.7099,                 2.7099,                 2.0365,             0.00065359,             0.00065359,             0.00065359
                      2,                 1.4829,                  1.846,                 1.6977,                0.36188,                0.41618,                0.28527,                0.11627,                 1.8717,                 2.8712,                 2.6678,              0.0012985,              0.0012985,              0.0012985
                      3,                  1.575,                 1.8402,                 1.7648,                0.22055,                0.15607,                0.10982,                0.03482,                 2.6824,                 3.0856,                 3.8221,              0.0019214,              0.0019214,              0.0019214
                      4,                 1.5856,                 1.7418,                 1.7767,                0.32767,                0.36416,                0.24993,                0.09901,                  2.233,                 2.6249,                 2.5046,               0.001901,               0.001901,               0.001901
                      5,                 1.5347,                 1.6063,                  1.757,                0.34294,                0.48555,                0.35852,                0.15384,                 1.9313,                 2.2821,                 2.2754,               0.001901,               0.001901,               0.001901
                      6,                 1.5683,                 1.6509,                 1.7866,                 0.5893,                0.47977,                0.52539,                0.26106,                  1.769,                 1.9811,                 2.2126,               0.001868,               0.001868,               0.001868
                      7,                 1.5159,                 1.4854,                 1.7247,                0.53274,                0.61272,                0.55641,                0.29831,                 1.6517,                 1.8504,                 2.0133,               0.001835,               0.001835,               0.001835
                      8,                 1.4551,                 1.4001,                 1.6624,                0.48622,                0.52601,                0.38705,                0.15222,                 1.9892,                 1.8895,                 2.2027,               0.001802,               0.001802,               0.001802
                      9,                 1.4789,                 1.3941,                 1.6732,                0.58815,                0.65896,                 0.6131,                0.29174,                 1.7122,                  1.378,                 1.9697,               0.001769,               0.001769,               0.001769
                     10,                 1.4415,                 1.3026,                 1.6476,                0.64105,                0.60694,                0.63646,                0.32669,                 1.7415,                 1.5122,                  2.002,               0.001736,               0.001736,               0.001736
                     11,                 1.4329,                 1.3009,                 1.6472,                0.63889,                 0.7261,                0.67575,                0.37125,                 1.6403,                  1.492,                 2.0013,               0.001703,               0.001703,               0.001703
                     12,                 1.4108,                 1.2663,                 1.6308,                0.55824,                0.58382,                0.53587,                0.26534,                 1.7802,                 1.9017,                 2.2347,                0.00167,                0.00167,                0.00167
                     13,                 1.4026,                 1.2702,                  1.628,                0.66377,                0.73988,                0.66802,                0.38428,                 1.5178,                 1.6476,                 1.9066,               0.001637,               0.001637,               0.001637
                     14,                 1.3993,                 1.2507,                 1.6179,                0.61064,                0.72832,                0.65636,                0.36486,                 1.6461,                  1.411,                 1.9241,               0.001604,               0.001604,               0.001604
                     15,                 1.3881,                 1.2592,                 1.6074,                0.72099,                0.65724,                0.69565,                0.39749,                  1.486,                 1.5245,                 1.9006,               0.001571,               0.001571,               0.001571
                     16,                  1.329,                 1.1633,                  1.559,                0.69523,                 0.7052,                0.73895,                0.44126,                 1.3796,                 1.2469,                 1.7321,               0.001538,               0.001538,               0.001538
                     17,                 1.3541,                 1.1559,                 1.5907,                0.57031,                0.64162,                0.61393,                0.35296,                 1.4117,                 1.3657,                 1.7023,               0.001505,               0.001505,               0.001505
                     18,                 1.3152,                 1.1668,                 1.5409,                0.70431,                0.54913,                0.62951,                0.32148,                 1.8429,                 1.6153,                 2.1626,               0.001472,               0.001472,               0.001472
                     19,                 1.3145,                 1.1317,                 1.5412,                0.64325,                0.73988,                0.66129,                0.36351,                 1.4601,                 1.3318,                 1.8146,               0.001439,               0.001439,               0.001439
                     20,                 1.3343,                  1.121,                  1.556,                0.67436,                0.78035,                0.75457,                0.44668,                 1.4805,                 1.3418,                  1.788,               0.001406,               0.001406,               0.001406
                     21,                 1.2969,                 1.1257,                 1.5259,                0.59761,                0.68786,                0.67989,                0.40323,                 1.3464,                  1.391,                 1.8045,               0.001373,               0.001373,               0.001373
                     22,                  1.298,                 1.1094,                 1.5344,                0.77432,                0.67432,                0.75035,                0.44129,                 1.4487,                 1.2178,                  1.809,                0.00134,                0.00134,                0.00134
                     23,                 1.3223,                 1.0893,                 1.5342,                0.72422,                0.78935,                0.76351,                0.44107,                 1.4396,                 1.3405,                 1.8374,               0.001307,               0.001307,               0.001307
                     24,                 1.2906,                 1.0721,                 1.5284,                 0.6486,                0.79191,                0.76376,                0.45543,                 1.4612,                   1.18,                 1.7659,               0.001274,               0.001274,               0.001274
                     25,                 1.2712,                 1.0425,                  1.527,                0.70876,                0.80347,                0.80072,                0.48874,                 1.3724,                 1.0705,                 1.6951,               0.001241,               0.001241,               0.001241
                     26,                 1.2947,                 1.0978,                 1.5362,                0.72773,                0.66436,                0.66507,                0.39081,                 1.4236,                 1.4169,                 1.8628,               0.001208,               0.001208,               0.001208
                     27,                 1.2716,                 1.0833,                 1.5243,                0.71196,                0.76879,                0.75517,                0.44306,                 1.4158,                 1.3068,                 1.8158,               0.001175,               0.001175,               0.001175
                     28,                 1.2885,                 1.0674,                 1.5167,                0.69055,                0.78035,                0.75832,                0.45128,                 1.4202,                 1.2246,                 1.8276,               0.001142,               0.001142,               0.001142
                     29,                   1.25,                 1.0672,                 1.5207,                0.72495,                0.74654,                0.73889,                0.44449,                 1.3611,                 1.0654,                 1.7335,               0.001109,               0.001109,               0.001109
                     30,                 1.2081,                 1.0133,                 1.4567,                 0.7821,                0.78838,                0.81695,                0.50205,                 1.2606,                0.99028,                 1.6245,               0.001076,               0.001076,               0.001076
                     31,                 1.2353,                 1.0134,                 1.4793,                 0.7085,                0.79769,                0.78632,                0.49883,                 1.3359,                   1.14,                 1.7299,               0.001043,               0.001043,               0.001043
                     32,                 1.2108,                 1.0003,                 1.4842,                0.79554,                 0.7341,                0.76811,                 0.4436,                 1.4838,                 1.1449,                 1.7922,                0.00101,                0.00101,                0.00101
                     33,                 1.1881,                 0.9891,                 1.4359,                0.67371,                0.78771,                0.76334,                0.47726,                 1.3409,                 1.2102,                 1.7607,               0.000977,               0.000977,               0.000977
                     34,                  1.189,                0.97279,                 1.4448,                0.71512,                0.75452,                0.75259,                0.45797,                 1.3711,                 1.0748,                 1.6896,               0.000944,               0.000944,               0.000944
                     35,                 1.2152,                0.98572,                 1.4774,                0.72795,                0.77335,                0.74403,                0.44388,                 1.3893,                 1.2816,                 1.7542,               0.000911,               0.000911,               0.000911
                     36,                 1.1821,                0.97133,                 1.4262,                0.73122,                0.79191,                0.77873,                0.44978,                 1.5206,                 1.1304,                 1.8129,               0.000878,               0.000878,               0.000878
                     37,                 1.1841,                0.94003,                 1.4361,                0.69335,                0.76879,                0.73339,                0.46015,                 1.3668,                 1.2176,                 1.7327,               0.000845,               0.000845,               0.000845
                     38,                 1.1719,                0.93184,                 1.4367,                0.77738,                0.70647,                0.75183,                0.44037,                 1.3502,                  1.264,                 1.7344,               0.000812,               0.000812,               0.000812
                     39,                 1.1735,                0.92201,                 1.4433,                0.67037,                 0.8229,                0.77209,                0.48811,                 1.3471,                  1.159,                 1.7011,               0.000779,               0.000779,               0.000779
                     40,                 1.1633,                0.96947,                 1.4441,                0.71048,                0.77457,                0.77619,                0.47445,                 1.2951,                 1.0606,                 1.6563,               0.000746,               0.000746,               0.000746
                     41,                 1.1695,                 0.9393,                 1.4313,                0.67535,                0.75723,                0.75346,                0.47114,                  1.344,                  1.195,                 1.7404,               0.000713,               0.000713,               0.000713
                     42,                 1.1552,                0.88081,                 1.4171,                0.71303,                0.75145,                0.72681,                0.44997,                 1.3043,                 1.0624,                  1.682,                0.00068,                0.00068,                0.00068
                     43,                 1.1581,                0.88963,                 1.4291,                0.76193,                0.74566,                0.76476,                0.46486,                 1.2972,                 1.0738,                 1.6746,               0.000647,               0.000647,               0.000647
                     44,                 1.1225,                0.87264,                 1.3942,                0.68787,                0.78035,                0.75679,                0.47088,                 1.3386,                 1.1708,                 1.7332,               0.000614,               0.000614,               0.000614
                     45,                 1.1432,                0.88695,                 1.4206,                0.74911,                0.74215,                0.73573,                0.43062,                  1.369,                 1.0328,                 1.6967,               0.000581,               0.000581,               0.000581
