                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4162,                 2.0626,                 1.6588,                0.55957,                0.41618,                0.49581,                0.24316,                 1.7099,                 2.7099,                 2.0365,             0.00065359,             0.00065359,             0.00065359
                      2,                 1.4925,                 1.8544,                 1.7075,                0.31052,                 0.3237,                0.25569,                0.11854,                 2.0054,                 2.9344,                 2.5953,              0.0013159,              0.0013159,              0.0013159
                      3,                 1.5781,                 1.7659,                 1.7512,                  0.196,                0.16763,                0.12101,                0.03871,                 2.6738,                 4.2358,                 4.1586,              0.0019738,              0.0019738,              0.0019738
                      4,                 1.5933,                  1.781,                 1.8054,                0.23254,                0.16185,                0.08043,                0.01875,                 3.4737,                 4.4359,                 5.6628,              0.0019802,              0.0019802,              0.0019802
                      5,                  1.547,                  1.624,                 1.7487,                0.30674,                 0.3526,                0.24716,                0.08812,                 2.3773,                 2.8838,                 2.6223,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.5917,                 1.6503,                 1.7914,                0.48832,                0.47399,                 0.4232,                0.20694,                 2.0978,                 1.8228,                 2.4657,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.5122,                 1.4695,                 1.7058,                0.57948,                 0.5896,                0.58687,                0.29087,                 1.8414,                 1.7142,                 2.2597,               0.001967,               0.001967,               0.001967
                      8,                 1.4572,                 1.4155,                  1.673,                0.46992,                 0.5896,                0.51611,                0.25399,                 1.8631,                 1.9169,                 2.3346,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.4771,                 1.4037,                 1.6926,                0.61769,                 0.6164,                0.63414,                0.34895,                 1.5701,                 1.7281,                 2.0396,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.4385,                 1.3483,                  1.664,                0.65438,                 0.5896,                0.58592,                0.29389,                 1.9201,                 1.7372,                 2.3047,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.4658,                 1.3474,                 1.6819,                0.49397,                0.52023,                0.51396,                0.25865,                 1.7522,                 1.7961,                 2.0632,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.4154,                  1.294,                 1.6397,                0.50424,                0.42332,                0.38537,                0.17064,                 1.9268,                 2.5143,                 2.4219,               0.001934,               0.001934,               0.001934
                     13,                  1.433,                 1.2928,                 1.6626,                0.61245,                0.68786,                 0.6598,                0.35626,                 1.6745,                 1.5845,                 2.0329,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.3996,                 1.2435,                 1.6252,                0.61478,                0.60886,                0.57938,                0.29955,                 1.8989,                 1.6085,                  2.282,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.3867,                 1.2415,                 1.6116,                0.72253,                0.72254,                0.68701,                0.42991,                  1.432,                 1.4289,                 1.8266,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.3494,                 1.1905,                 1.5946,                0.67929,                0.61217,                0.63081,                0.33157,                 1.6146,                 1.8239,                  2.033,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.3941,                 1.2158,                 1.6267,                0.63445,                0.65896,                0.70195,                0.39251,                 1.4593,                 1.4994,                 1.8663,               0.001901,               0.001901,               0.001901
                     18,                 1.3452,                 1.1959,                 1.5783,                0.68549,                0.73073,                0.71645,                0.39994,                 1.6382,                 1.2271,                 1.9131,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.3437,                 1.1341,                 1.5835,                0.73902,                0.65475,                0.70759,                0.36868,                 1.4543,                 1.3622,                 1.9108,              0.0018878,              0.0018878,              0.0018878
