                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5905,                 5.7675,                  4.297,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                  3.508,                 5.7638,                 4.2747,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.6966e-05,             1.6966e-05,             1.6966e-05
                      3,                 3.5521,                 5.7486,                 4.2797,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              2.466e-05,              2.466e-05,              2.466e-05
