                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0331,                 2.5623,                 1.6552,                0.70017,                0.70784,                0.72933,                0.44473,                    nan,                    nan,                    nan,                0.00036,                0.00036,                0.00036
                      2,                 1.1164,                0.92827,                 1.0619,                      1,                0.81018,                0.91064,                0.72804,                    nan,                    nan,                    nan,             0.00073512,             0.00073512,             0.00073512
                      3,                 0.9256,                0.69587,                0.97064,                 0.9855,                0.81818,                0.91721,                  0.736,                    nan,                    nan,                    nan,              0.0011052,              0.0011052,              0.0011052
                      4,                0.84133,                0.61656,                0.94624,                      1,                0.92016,                0.94211,                0.78821,                    nan,                    nan,                    nan,              0.0014703,              0.0014703,              0.0014703
                      5,                 0.8437,                 0.5776,                 0.9456,                0.99655,                0.87879,                0.93764,                0.77348,                    nan,                    nan,                    nan,              0.0018304,              0.0018304,              0.0018304
                      6,                0.77171,                0.54062,                0.92356,                0.99648,                0.87879,                0.94216,                0.77336,                    nan,                    nan,                    nan,               0.001934,               0.001934,               0.001934
                      7,                0.74152,                0.52192,                0.91218,                0.96068,                0.90909,                0.93884,                 0.7746,                    nan,                    nan,                    nan,               0.001934,               0.001934,               0.001934
                      8,                 0.7603,                0.52709,                0.92159,                0.96842,                0.92943,                0.95784,                0.81142,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                      9,                0.74063,                0.49363,                0.91782,                0.99314,                0.93939,                 0.9468,                0.80968,                    nan,                    nan,                    nan,              0.0019076,              0.0019076,              0.0019076
                     10,                0.70426,                0.48716,                0.91791,                0.99062,                0.93939,                0.95771,                0.82632,                    nan,                    nan,                    nan,              0.0018944,              0.0018944,              0.0018944
                     11,                 0.6975,                0.48239,                0.90263,                0.98976,                0.93939,                0.96191,                0.83316,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                     12,                0.65736,                0.45986,                 0.9079,                0.99009,                0.93939,                0.95321,                0.84748,                    nan,                    nan,                    nan,               0.001868,               0.001868,               0.001868
                     13,                0.66133,                0.46465,                0.90808,                      1,                0.93368,                0.95418,                0.80946,                    nan,                    nan,                    nan,              0.0018548,              0.0018548,              0.0018548
                     14,                 0.6918,                0.45145,                0.91026,                0.99555,                0.93939,                0.97044,                0.81572,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     15,                0.64679,                 0.4407,                0.89124,                0.96963,                 0.9674,                0.97265,                0.81959,                    nan,                    nan,                    nan,              0.0018284,              0.0018284,              0.0018284
                     16,                 0.6599,                0.43527,                0.90234,                0.96656,                0.93939,                0.96622,                0.86843,                    nan,                    nan,                    nan,              0.0018152,              0.0018152,              0.0018152
                     17,                 0.6417,                0.42989,                0.90107,                0.96668,                0.93939,                0.96673,                0.86151,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     18,                 0.6351,                0.42579,                0.90297,                 0.9669,                0.93939,                0.96708,                0.83446,                    nan,                    nan,                    nan,              0.0017888,              0.0017888,              0.0017888
                     19,                 0.6655,                0.42406,                0.90291,                0.96622,                0.93939,                0.95193,                0.82348,                    nan,                    nan,                    nan,              0.0017756,              0.0017756,              0.0017756
                     20,                0.63002,                0.41115,                0.89911,                0.97524,                0.93939,                0.94971,                 0.8263,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     21,                0.65292,                0.41409,                0.88852,                0.98393,                0.93939,                0.96922,                0.85984,                    nan,                    nan,                    nan,              0.0017492,              0.0017492,              0.0017492
                     22,                0.65325,                0.40357,                0.89513,                0.96605,                0.93939,                0.98212,                0.84677,                    nan,                    nan,                    nan,               0.001736,               0.001736,               0.001736
                     23,                0.67535,                 0.4355,                 0.9128,                0.96743,                0.93939,                0.95227,                0.80055,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     24,                0.63282,                0.40214,                0.90285,                0.98975,                0.93939,                0.95738,                0.83783,                    nan,                    nan,                    nan,              0.0017096,              0.0017096,              0.0017096
                     25,                0.66274,                0.41704,                0.90193,                0.97574,                0.93939,                 0.9612,                0.83642,                    nan,                    nan,                    nan,              0.0016964,              0.0016964,              0.0016964
                     26,                0.65641,                0.41655,                0.90204,                0.98656,                0.93939,                0.95941,                0.84677,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     27,                0.65718,                0.40244,                0.90141,                0.96502,                0.93939,                0.95378,                0.83164,                    nan,                    nan,                    nan,                0.00167,                0.00167,                0.00167
                     28,                0.64147,                0.40816,                0.88941,                0.96728,                0.93939,                0.95555,                0.85848,                    nan,                    nan,                    nan,              0.0016568,              0.0016568,              0.0016568
                     29,                0.64962,                0.39974,                0.89578,                      1,                0.93867,                0.94932,                0.85228,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     30,                0.60159,                0.37615,                0.87878,                0.99359,                0.93939,                0.95453,                0.82717,                    nan,                    nan,                    nan,              0.0016304,              0.0016304,              0.0016304
                     31,                0.61536,                0.38005,                0.88757,                 0.9968,                0.93939,                0.95321,                0.83697,                    nan,                    nan,                    nan,              0.0016172,              0.0016172,              0.0016172
                     32,                0.62623,                0.38579,                 0.8895,                0.99673,                0.93939,                0.95887,                0.86337,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
