                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00278,                0.47977,                0.00292,                0.00105,                    nan,                    nan,                    nan,             0.00065359,             0.00065359,             0.00065359
                      2,                    nan,                    nan,                    nan,                 0.0029,                0.47977,                0.00451,                0.00147,                    nan,                    nan,                    nan,              0.0012549,              0.0012549,              0.0012549
                      3,                    nan,                    nan,                    nan,                0.00305,                0.48555,                0.00828,                0.00237,                    nan,                    nan,                    nan,              0.0017902,              0.0017902,              0.0017902
                      4,                    nan,                    nan,                    nan,                0.00304,                0.49133,                 0.0084,                0.00236,                    nan,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                      5,                    nan,                    nan,                    nan,                0.00308,                0.51445,                0.00917,                0.00235,                    nan,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                      6,                    nan,                    nan,                    nan,                0.00307,                0.51445,                0.00923,                0.00246,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                      7,                    nan,                    nan,                    nan,                0.00302,                0.50867,                0.01048,                0.00268,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                      8,                    nan,                    nan,                    nan,                0.00308,                0.52023,                0.00958,                0.00254,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                      9,                    nan,                    nan,                    nan,                0.00308,                0.52023,                0.01084,                0.00264,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                     10,                    nan,                    nan,                    nan,                0.00305,                0.51445,                0.00962,                0.00249,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     11,                    nan,                    nan,                    nan,                0.00314,                0.53179,                0.01078,                0.00251,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     12,                    nan,                    nan,                    nan,                0.00306,                0.52023,                0.00933,                0.00238,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     13,                    nan,                    nan,                    nan,                0.00309,                0.52601,                0.00953,                0.00231,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     14,                    nan,                    nan,                    nan,                0.00302,                0.51445,                0.00988,                0.00246,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     15,                    nan,                    nan,                    nan,                0.00306,                0.52023,                0.00906,                0.00233,                    nan,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     16,                    nan,                    nan,                    nan,                0.00313,                0.53179,                0.00976,                0.00244,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     17,                    nan,                    nan,                    nan,                0.00302,                0.51445,                0.00961,                0.00237,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     18,                    nan,                    nan,                    nan,                0.00306,                0.52023,                0.00986,                0.00246,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     19,                    nan,                    nan,                    nan,                0.00303,                0.51445,                0.00952,                0.00245,                    nan,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                     20,                    nan,                    nan,                    nan,                0.00317,                0.53757,                0.01013,                0.00243,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
