                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4586,                 2.0031,                 1.7089,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00065517,             0.00065517,             0.00065517
                      2,                 1.6077,                 1.6337,                 1.7766,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013175,              0.0013175,              0.0013175
                      3,                 1.6921,                 1.7355,                 1.8888,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019754,              0.0019754,              0.0019754
                      4,                 1.6683,                 1.7142,                 1.8694,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.6621,                 1.6513,                 1.8574,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.6075,                 1.5709,                 1.8177,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.5915,                 1.5111,                 1.7734,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001967,               0.001967,               0.001967
                      8,                 1.5097,                 1.4108,                 1.7027,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.5284,                  1.511,                 1.7602,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.5224,                 1.4262,                 1.7365,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.4699,                 1.3686,                 1.7006,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                     12,                  1.487,                 1.3466,                 1.7149,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001934,               0.001934,               0.001934
                     13,                 1.4489,                 1.2963,                 1.6625,                0.00014,                0.01734,                  7e-05,                  3e-05,                    nan,                    nan,                    nan,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.4501,                 1.2938,                 1.6586,                0.00019,                0.01734,                 0.0001,                  4e-05,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.4508,                 1.3375,                 1.6843,                0.00032,                0.04046,                0.00018,                  5e-05,                    nan,                    nan,                    nan,              0.0019142,              0.0019142,              0.0019142
                     16,                  1.443,                  1.264,                 1.6511,                  4e-05,                0.00578,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.4142,                 1.2356,                 1.6397,                  4e-05,                0.00578,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                     18,                 1.3862,                 1.2013,                 1.6336,                  4e-05,                0.00578,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.3904,                 1.2002,                 1.6245,                  4e-05,                0.00578,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.3846,                  1.183,                 1.5933,                  5e-05,                0.00578,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.3808,                 1.1887,                 1.6297,                0.00015,                0.01734,                  8e-05,                  4e-05,                    nan,                    nan,                    nan,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.3474,                  1.171,                 1.6087,                0.00011,                0.01734,                  5e-05,                  1e-05,                    nan,                    nan,                    nan,               0.001868,               0.001868,               0.001868
                     23,                 1.3717,                 1.1239,                 1.5879,                 0.0003,                0.00578,                0.00016,                  6e-05,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.3128,                 1.1088,                 1.5691,                  8e-05,                0.01156,                  4e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.3497,                 1.1392,                 1.5858,                  5e-05,                0.00578,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.3582,                  1.126,                 1.5937,                0.00061,                0.05202,                0.00032,                  9e-05,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.3642,                 1.1641,                 1.6015,                0.00032,                0.04046,                0.00017,                  6e-05,                    nan,                    nan,                    nan,               0.001835,               0.001835,               0.001835
                     28,                 1.3508,                 1.1407,                  1.603,                0.00059,                0.07514,                0.00033,                  9e-05,                    nan,                    nan,                    nan,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.3628,                 1.1658,                 1.6184,                  3e-05,                0.00578,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.3444,                 1.0708,                 1.5857,                0.00014,                0.01734,                  7e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.3753,                 1.1195,                 1.5946,                0.00033,                0.03468,                0.00017,                  6e-05,                    nan,                    nan,                    nan,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.3161,                 1.0894,                 1.5712,                  8e-05,                0.01156,                  4e-05,                  1e-05,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     33,                 1.3386,                 1.0864,                 1.5697,                0.00022,                0.02312,                0.00011,                  3e-05,                    nan,                    nan,                    nan,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.3255,                 1.0647,                 1.5543,                0.00025,                0.03468,                0.00013,                  6e-05,                    nan,                    nan,                    nan,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.3148,                 1.0754,                 1.5387,                0.00015,                0.02312,                  8e-05,                  3e-05,                    nan,                    nan,                    nan,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.2982,                 1.0647,                 1.5514,                  9e-05,                0.01156,                  4e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.2701,                 1.0603,                 1.5329,                0.00045,                0.04046,                0.00024,                  7e-05,                    nan,                    nan,                    nan,               0.001769,               0.001769,               0.001769
                     38,                 1.2788,                 1.0443,                 1.5261,                 0.0003,                 0.0289,                0.00016,                  2e-05,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.2589,                 1.0238,                 1.4988,                0.00031,                0.02312,                0.00017,                  9e-05,                    nan,                    nan,                    nan,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.2797,                 1.0486,                 1.5247,                  8e-05,                0.01156,                  4e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0017492,              0.0017492,              0.0017492
                     41,                  1.292,                 1.0032,                 1.5269,                  7e-05,                0.00578,                  3e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.2652,                 1.0027,                 1.5142,                0.00013,                0.01734,                  7e-05,                  4e-05,                    nan,                    nan,                    nan,               0.001736,               0.001736,               0.001736
                     43,                 1.2455,                 1.0155,                 1.4776,                 0.0003,                 0.0289,                0.00016,                  3e-05,                    nan,                    nan,                    nan,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.2441,                0.98366,                  1.495,                0.00046,                0.02312,                0.00024,                  7e-05,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
